[Bet] SAC +10.5 | Source: overrideEvent.event:401810370.bets.H1_SP.current | Current: -12 | Line: +10.5 | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] SAC +8.5 | Source: overrideEvent.event:401810370.bets.Q1_SP.current | Current: -10 | Line: +8.5 | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] SAC 103+ | Source: overrideEvent.event:401810370.bets.homePoints.current | Current: 98 | Line: 103+ | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] DAL 129- | Source: overrideEvent.event:401810370.bets.awayPoints.current | Current: 100 | Line: 129- | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] DAL Regulation 3-Way Moneyline AWAY | Source: overrideEvent.event:401810370.bets.moneyline | Current: N/A | Line: DAL | GameState: post | ShowProgressBar: false
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] DAL 53+ | Source: overrideEvent.event:401810370.bets.awayPoints1H.current | Current: 46 | Line: 53+ | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] SAC 64- | Source: overrideEvent.event:401810370.bets.homePoints2H.current | Current: 40 | Line: 64- | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] 210+ | Source: overrideEvent.event:401810370.bets.totalPoints.current | Current: 198 | Line: 210+ | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] Under 119.5 | Source: overrideEvent.event:401810370.bets.H1_T.current | Current: 104 | Line: U 119.5 | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] 54+ | Source: overrideEvent.event:401810370.bets.Q1_T.current | Current: 60 | Line: 54+ | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] points+rebounds_ou 15+ | Source: overrideEvent.event:401810370.players:3978.milestones:PR | Current: 23 | Line: 15+ | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] points+rebounds+assists_ou 20+ | Source: overrideEvent.event:401810370.players:5041939.milestones:PRA | Current: 34 | Line: 20+ | GameState: post | ShowProgressBar: true
