2026-05-30T23:34:24.682836559Z [inf]  Starting Container
2026-05-30T23:34:25.593732701Z [err]  ⚠️  Node.js 18 and below are deprecated and will no longer be supported in future versions of @supabase/supabase-js. Please upgrade to Node.js 20 or later. For more information, visit: https://github.com/orgs/supabase/discussions/37217
2026-05-30T23:34:25.593739954Z [inf]  [baseball live-activity] server-start { port: '8080' }
2026-05-30T23:34:25.593745852Z [inf]  [baseball live-activity] loop-start { pollMs: 5000 }
2026-05-30T23:34:25.593752551Z [inf]  [baseball live-activity] startup-db-subscribers { count: 1 }
2026-05-30T23:34:29.890689563Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:34:34.883407430Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:34:39.958750888Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:34:44.878247922Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:34:49.885505032Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:34:54.878976928Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:34:59.880302617Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:35:04.962833140Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:35:09.886674175Z [inf]  [baseball live-activity] tick { dateStr: '2026-05-30', games: 15, trackedGames: 0 }
2026-05-30T23:35:13.819204574Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40c8e69c', attempt: 1 }
2026-05-30T23:35:13.819263393Z [inf]  [baseball live-activity] apns-connect { deviceToken: '406f9e8e', attempt: 1 }
2026-05-30T23:35:13.819280262Z [inf]  [baseball live-activity] apns-response { deviceToken: '406f9e8e', status: 200 }
2026-05-30T23:35:13.819290167Z [inf]  [baseball live-activity] apns-connect { deviceToken: '403d6b40', attempt: 1 }
2026-05-30T23:35:13.819302982Z [inf]  [baseball live-activity] apns-response { deviceToken: '403d6b40', status: 200 }
2026-05-30T23:35:13.819312392Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40686675', attempt: 1 }
2026-05-30T23:35:13.819326134Z [inf]  [baseball live-activity] apns-response { deviceToken: '40686675', status: 200 }
2026-05-30T23:35:13.819332916Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4094ffd1', attempt: 1 }
2026-05-30T23:35:13.819343548Z [inf]  [baseball live-activity] apns-response { deviceToken: '4094ffd1', status: 200 }
2026-05-30T23:35:13.826046360Z [inf]  [baseball live-activity] apns-response { deviceToken: '40c8e69c', status: 200 }
2026-05-30T23:35:13.828209925Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40c3b93f', attempt: 1 }
2026-05-30T23:35:13.862496750Z [inf]  [baseball live-activity] apns-response { deviceToken: '40c3b93f', status: 200 }
2026-05-30T23:35:13.865297440Z [inf]  [baseball live-activity] apns-connect { deviceToken: '401613cb', attempt: 1 }
2026-05-30T23:35:13.900790818Z [inf]  [baseball live-activity] apns-response { deviceToken: '401613cb', status: 200 }
2026-05-30T23:35:13.910046066Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40144cde', attempt: 1 }
2026-05-30T23:35:13.940016436Z [inf]  [baseball live-activity] apns-response { deviceToken: '40144cde', status: 200 }
2026-05-30T23:35:13.943718910Z [inf]  [baseball live-activity] apns-connect { deviceToken: '403cb61b', attempt: 1 }
2026-05-30T23:35:13.980011285Z [inf]  [baseball live-activity] apns-response { deviceToken: '403cb61b', status: 200 }
2026-05-30T23:35:13.980015841Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40eb4a1a', attempt: 1 }
2026-05-30T23:35:14.013391739Z [inf]  [baseball live-activity] apns-response { deviceToken: '40eb4a1a', status: 200 }
2026-05-30T23:35:14.015660002Z [inf]  [baseball live-activity] apns-connect { deviceToken: '407368e1', attempt: 1 }
2026-05-30T23:35:14.052305609Z [inf]  [baseball live-activity] apns-response { deviceToken: '407368e1', status: 200 }
2026-05-30T23:35:14.052314906Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40f375a3', attempt: 1 }
2026-05-30T23:35:14.090526562Z [inf]  [baseball live-activity] apns-response { deviceToken: '40f375a3', status: 200 }
2026-05-30T23:35:14.090533095Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40d98b74', attempt: 1 }
2026-05-30T23:35:14.124009794Z [inf]  [baseball live-activity] apns-response { deviceToken: '40d98b74', status: 200 }
2026-05-30T23:35:14.133040958Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40bf8b85', attempt: 1 }
2026-05-30T23:35:14.162333022Z [inf]  [baseball live-activity] apns-response { deviceToken: '40bf8b85', status: 200 }
2026-05-30T23:35:14.162342506Z [inf]  [baseball live-activity] apns-connect { deviceToken: '409e7594', attempt: 1 }
2026-05-30T23:35:14.873178500Z [inf]  [baseball live-activity] apns-response { deviceToken: '409e7594', status: 200 }
2026-05-30T23:35:14.873184881Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4027d13e', attempt: 1 }
2026-05-30T23:35:14.873192203Z [inf]  [baseball live-activity] apns-response { deviceToken: '4027d13e', status: 200 }
2026-05-30T23:35:14.873198953Z [inf]  [baseball live-activity] apns-connect { deviceToken: '400f5021', attempt: 1 }
2026-05-30T23:35:14.873205273Z [inf]  [baseball live-activity] apns-response { deviceToken: '400f5021', status: 200 }
2026-05-30T23:35:14.873212410Z [inf]  [baseball live-activity] apns-connect { deviceToken: '4014862f', attempt: 1 }
2026-05-30T23:35:14.873219537Z [inf]  [baseball live-activity] apns-response { deviceToken: '4014862f', status: 200 }
2026-05-30T23:35:14.873226060Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40bb810c', attempt: 1 }
2026-05-30T23:35:14.873239153Z [inf]  [baseball live-activity] apns-response { deviceToken: '40bb810c', status: 200 }
2026-05-30T23:35:14.873247122Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40ee6397', attempt: 1 }
2026-05-30T23:35:14.873254066Z [inf]  [baseball live-activity] apns-response { deviceToken: '40ee6397', status: 200 }
2026-05-30T23:35:14.873262859Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40d49f4b', attempt: 1 }
2026-05-30T23:35:14.873269869Z [inf]  [baseball live-activity] apns-response { deviceToken: '40d49f4b', status: 200 }
2026-05-30T23:35:14.873277942Z [inf]  [baseball live-activity] apns-connect { deviceToken: '40f82c87', attempt: 1 }
